Provinsi,,0/1,2,3,4,5,6,7/8/2009,X/00,Jumlah
,,,,,,,,,,
Aceh,,2901853.371,4291104.737,2870023.503,2030127.14,1978490.563,2064394.625,2227029.118,4495759.247,2594529.697
Sumatera Utara,,2809992.002,4617718.089,3218434.47,2320058.406,1765846.354,2334917.076,2514695.268,3243855.638,2610583.681
Sumatera Barat,,3277017.906,5261405.609,2989000.789,2117458.139,1801400.579,2184568.218,2405233.029,4030799.252,2753516.957
Riau ,,3345614.019,6704829.768,3172065.651,2272428.808,1873986.392,2742247.192,3111419.424,3329207.94,3011039.924
Jambi,,3009868.046,4995710.903,2925837.755,2402136.013,1672034.342,2128120.47,2627604.957,3585447.427,2668478.458
Sumatera Selatan,,3227747.53,8136430.13,3093578.587,2299183.536,1570951.783,1991771.13,2824430.222,3437388.425,2767669.235
Bengkulu,,3163787.925,5203584.073,2548516.229,2347361.915,1565882.34,1858591.925,2453826.796,4314952.77,2740734.246
Lampung,,2651416.052,5476931.344,2927508.106,2038129.867,1635793.361,2029674.865,2287801.908,3169429.845,2424538.339
Kepulauan Bangka Belitung,,4375391.203,5696935.649,3646764.632,2438508.875,1889623.665,2702649.093,2844180.083,3958799.601,3221747.229
Kepulauan Riau,,5366194.148,9808037.518,4624586.983,4104812.007,2781438.236,2329081.272,4637298.208,4543910.635,4651057.076
,,,,,,,,,,
DKI Jakarta,,8405957.269,9398360.793,6164428.966,5556395.308,3578324.116,2328192.413,4170184.741,4413328.376,5532624.092
Jawa Barat,,4597814.474,9062440.764,4611793.275,3395096.599,2367931.588,2358901.861,3254386.786,3701349.693,3674236.007
Jawa Tengah,,2946643.688,5390391.331,3006896.858,2034287.953,1732191.833,1978508.336,2102945.47,2983786.248,2321344.432
DI Yogyakarta,,3971633.815,6750675.802,3232623.946,2322360.643,1950402.116,2101158.028,2010643.614,3410772.96,2705600.832
Jawa Timur,,2853738.405,6156185.428,3311304.411,2416853.918,1901862.184,1608250.205,2518257.179,3787210.317,2654067.574
Banten,,5215957.71,10511449.62,5564467.197,4382603.106,3153678.47,2526569.81,3911178.606,3746734.108,4378057.554
,,,,,,,,,,
Bali,,4101531.286,5013763.807,3617832.32,2638572.554,4390967.408,2016531.785,2810349.178,3662791.682,3380839.733
Nusa Tenggara Barat,,2263677.708,6104707.708,2514247.083,2025994.059,1893984.603,1560389.929,2072054.112,2990001.85,2344660.846
Nusa Tenggara Timur,,2295051.27,4180878.868,2737514.307,1713851.102,1655984.569,1640416.533,1667389.398,3921768.664,2339851.312
,,,,,,,,,,
Kalimantan Barat,,3215654.678,5161028.267,3225054.785,2236122.299,1837215.477,2419797.572,2711434.133,3776268.597,2796614.622
Kalimantan Tengah,,3425011.305,5027813.08,3258719.667,2401343.707,2349552.461,3297626.014,3357404.298,4241003.135,3323456.909
Kalimantan Selatan,,3303551.648,5242700.711,3406933.285,2396462.929,1781863.189,2773128.145,3152894.664,3496967.975,3066883.553
Kalimantan Timur,,4425911.172,5621639.245,3906735.562,2875334.173,2610941.298,2997846.927,4538780.849,4041460.347,4068893.396
Kalimantan Utara,,4350314.439,7522566.754,3749415.257,2409485.009,2151568.196,2940852.221,3249101.942,4021225.497,3599652.967
,,,,,,,,,,
Sulawesi Utara,,3672164.539,3958528.368,3324476.518,2935599.943,2582715.578,2263782.476,3077150.142,4648472.852,3282230.262
Sulawesi Tengah,,2897620.779,4333240.43,2655863.268,2260818.277,1827840.977,1792337.141,2551178.849,3596768.837,2648195.411
Sulawesi Selatan,,3587364.3,5377773.19,2903370.641,2425012.932,2194168.345,1704032.767,2681931.889,4131318.792,2969919.505
Sulawesi Tenggara,,2925947.164,6066035.423,2796036.647,2308418.496,2093359.399,2048971.935,2714002.772,4012015.742,2876321.151
Gorontalo,,3195115.165,4309232.578,2826993.667,1994030.759,1521873.103,1790144.629,2169213.791,3898716.943,2570180.707
Sulawesi Barat,,2517200.49,4613952.09,2447001.826,1552948.036,1418435.374,2363175.187,2083213.191,3716555.034,2367534.451
,,,,,,,,,,
Maluku,,2847790.5,5014549.632,3161701.007,2208685.582,2149542.345,2377996.36,2371766.036,4279016.322,2865989.396
Maluku Utara,,3088640.946,4695933.38,3105152.01,2530011.345,2588534.945,3012437.367,3367340.822,4295219.49,3267084.283
,,,,,,,,,,
Papua Barat,,3748490.357,5167626.216,3514127.003,3013989.47,2985644.099,2728623.974,3370938.064,4738627.72,3601390.373
Papua,,4188532.57,5788651.351,4133625.522,3849701.735,4665268.505,3785848.63,4573030.007,5275482.908,4420389.664
Rata-rata,,3769455.949,6668858.92,3792310.89,2872509.209,2291611.464,2220162.965,2866488.437,3764505.085,3178227.238
